,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions
0,01,01,3,42.8,67.84,0.0,13.3,Partially cloudy
1,01,02,3,40.0,58.12,0.0,13.8,Partially cloudy
2,01,03,5,42.2,54.95,0.0,12.7,Partially cloudy
3,01,04,5,38.5,53.05,0.0,16.7,Clear
4,01,05,4,34.6,44.61,0.0,12.6,Clear
5,01,06,4,36.4,40.56,0.0,15.6,Partially cloudy
6,01,07,3,50.1,56.86,0.0,11.7,Overcast
7,01,09,3,49.9,88.55,0.3,11.0,"Rain, Overcast"
8,01,10,8,41.3,73.85,0.06,18.3,"Rain, Overcast"
9,01,11,1,32.0,50.33,0.0,11.0,Clear
10,01,12,3,39.6,49.58,0.0,16.1,Clear
11,01,13,1,39.0,47.92,0.0,11.5,Clear
12,01,14,5,43.3,55.54,0.0,9.7,Partially cloudy
13,01,15,2,44.9,82.62,1.44,13.9,"Rain, Overcast"
14,01,16,8,50.8,71.44,0.0,11.5,Partially cloudy
15,01,17,8,40.2,64.66,0.07,17.8,"Rain, Partially cloudy"
16,01,18,4,31.7,48.58,0.0,16.1,Clear
17,01,19,2,28.3,42.25,0.0,12.7,Clear
18,01,20,5,35.2,61.03,0.11,7.5,"Rain, Overcast"
19,01,21,5,43.1,83.7,0.45,12.8,"Rain, Overcast"
20,01,22,4,40.1,88.58,1.86,18.5,"Rain, Overcast"
21,01,23,4,29.5,69.25,0.0,24.7,Overcast
22,01,24,7,34.9,56.26,0.0,14.4,Clear
23,01,25,5,42.1,55.14,0.0,8.6,Partially cloudy
24,01,26,4,47.5,71.94,0.11,8.1,"Rain, Overcast"
25,01,27,5,44.6,81.95,0.14,11.5,"Rain, Overcast"
26,01,28,1,44.2,63.41,0.0,8.1,Partially cloudy
27,01,29,5,44.6,54.65,0.0,19.0,Clear
28,01,30,3,48.4,56.01,0.0,11.4,Clear
29,01,31,8,54.1,72.54,0.0,10.4,Partially cloudy
30,02,01,3,60.5,81.29,0.02,11.0,"Rain, Partially cloudy"
31,02,02,6,62.2,81.33,0.01,19.6,"Rain, Overcast"
32,02,03,4,60.7,83.0,2.0,18.5,"Rain, Overcast"
33,02,04,5,45.9,53.17,0.0,19.0,Clear
34,02,05,5,39.1,40.22,0.0,23.1,Clear
35,02,06,4,39.6,47.33,0.0,9.3,Partially cloudy
36,02,07,8,42.2,45.93,0.0,13.3,Clear
37,02,08,2,42.5,47.61,0.0,19.0,Partially cloudy
38,02,09,4,33.7,55.5,0.0,18.1,Overcast
39,02,10,1,30.2,44.53,0.0,17.8,Partially cloudy
40,02,11,4,40.7,40.86,0.0,6.4,Clear
41,02,13,1,35.4,39.83,0.0,17.9,Clear
42,02,14,6,37.2,35.08,0.0,13.2,Partially cloudy
43,02,15,3,40.8,57.26,1.14,17.3,"Rain, Overcast"
44,02,17,3,44.9,67.55,0.0,16.7,Partially cloudy
45,02,18,6,45.4,58.48,0.0,9.2,Clear
46,02,19,3,51.7,50.68,0.0,13.2,Clear
47,02,20,5,55.0,74.85,0.0,8.1,Partially cloudy
48,02,21,4,59.0,84.53,0.04,11.5,"Rain, Overcast"
49,02,23,3,56.4,92.59,1.26,15.0,"Rain, Overcast"
50,02,24,1,53.8,73.59,0.89,21.4,"Rain, Overcast"
51,02,25,3,44.3,56.14,0.0,21.9,Partially cloudy
52,02,26,2,42.5,50.11,0.0,17.9,Partially cloudy
53,02,27,7,45.1,51.13,0.0,10.8,Clear
54,02,28,5,51.3,48.22,0.0,13.3,Clear
55,02,29,1,58.8,54.99,0.0,12.7,Clear
56,03,01,2,59.1,67.41,0.45,18.5,"Rain, Partially cloudy"
57,03,04,6,44.6,75.12,0.0,13.9,Partially cloudy
58,03,05,3,48.2,60.54,0.0,8.1,Clear
59,03,06,4,53.5,47.53,0.0,11.0,Clear
60,03,07,6,55.0,54.46,0.0,11.5,Partially cloudy
61,03,08,3,60.0,62.95,0.0,10.9,Partially cloudy
62,03,09,4,63.9,64.17,0.0,16.7,Partially cloudy
63,03,10,3,68.6,62.55,0.01,15.0,"Rain, Partially cloudy"
64,03,11,3,69.3,70.46,0.0,9.2,Partially cloudy
65,03,12,6,69.7,66.71,0.0,15.6,Partially cloudy
66,03,13,1,70.0,61.48,0.01,14.3,"Rain, Partially cloudy"
67,03,14,4,65.4,68.16,0.0,17.9,Partially cloudy
68,03,15,6,68.6,55.32,0.0,14.4,Clear
69,03,16,7,70.8,45.42,0.0,14.4,Partially cloudy
70,03,17,4,64.6,34.72,0.0,10.9,Partially cloudy
71,03,18,3,64.6,40.35,0.0,10.3,Partially cloudy
72,03,19,4,63.3,66.87,0.01,16.7,"Rain, Partially cloudy"
73,03,20,3,49.3,48.79,0.0,20.8,Partially cloudy
74,03,21,5,45.7,48.36,0.0,16.7,Clear
75,03,22,4,51.7,46.65,0.0,13.2,Clear
76,03,23,1,57.3,56.61,0.0,13.3,Partially cloudy
77,03,25,3,64.4,65.39,0.0,12.8,Overcast
78,03,26,5,59.3,82.59,0.02,10.4,"Rain, Overcast"
79,03,27,4,63.2,90.14,0.15,8.6,"Rain, Overcast"
80,03,28,2,63.4,67.3,0.02,14.4,"Rain, Partially cloudy"
81,03,29,3,58.5,44.45,0.0,10.4,Clear
82,03,30,2,60.1,51.55,0.0,12.6,Partially cloudy
83,03,31,3,66.7,75.43,0.08,15.6,"Rain, Overcast"
84,04,01,9,66.3,86.63,1.3,10.3,"Rain, Overcast"
85,04,02,6,58.4,54.94,0.05,21.4,"Rain, Partially cloudy"
86,04,03,5,56.7,35.99,0.0,13.9,Clear
87,04,04,3,60.9,47.3,0.0,12.7,Clear
88,04,05,6,59.1,35.43,0.0,16.7,Clear
89,04,06,11,56.3,54.22,0.0,14.4,Partially cloudy
90,04,07,8,59.9,60.69,0.32,19.0,"Rain, Partially cloudy"
91,04,08,5,55.9,48.32,0.02,19.6,"Rain, Partially cloudy"
92,04,09,5,52.5,35.2,0.0,23.0,Clear
93,04,10,6,50.2,43.36,0.0,11.4,Partially cloudy
94,04,11,5,58.2,70.46,0.38,9.7,"Rain, Partially cloudy"
95,04,12,5,63.3,73.18,0.27,18.5,"Rain, Partially cloudy"
96,04,13,2,58.6,67.56,0.0,15.0,Overcast
97,04,14,2,61.4,68.14,0.04,16.2,"Rain, Overcast"
98,04,15,8,60.0,48.21,0.0,20.2,Overcast
99,04,16,6,62.7,49.25,0.0,18.5,Partially cloudy
100,04,17,2,60.7,46.0,0.0,12.8,Clear
